2024-06-12 23:39:51.285 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:39:51.287 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:39:51.287 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:39:51.289 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:39:51.290 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:39:51.290 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:25.006 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:25.052 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:40:25.052 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:25.054 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:25.055 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:40:25.055 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:25.057 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:25.058 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:40:25.058 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:46.512 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:46.514 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:40:46.514 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:46.516 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:46.517 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:40:46.517 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:46.519 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:40:46.520 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:40:46.520 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:41:17.738 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:41:17.741 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:41:17.741 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:41:17.745 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:41:17.749 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:41:17.749 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:41:17.751 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 23:41:17.753 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 23:41:17.753 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
