2024-06-15 17:08:29.569 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:08:29.569 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:08:29.659 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:08:29.665 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:08:29.665 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:08:38.305 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:08:38.308 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:08:38.309 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:08:38.395 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:08:38.398 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:08:38.398 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:11:24.183 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:11:24.189 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:11:24.189 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:11:24.277 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:11:24.283 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:11:24.283 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:11:33.785 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:11:33.794 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:11:33.794 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:11:33.889 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:11:33.899 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:11:33.899 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:12:54.856 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:12:54.861 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:12:54.861 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:12:54.946 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:12:54.952 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:12:54.952 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:13:30.096 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:13:30.102 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:13:30.102 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:13:30.178 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:13:30.188 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:13:30.188 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:16:16.147 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:16:16.159 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:16:16.159 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:16:16.230 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:16:16.236 -05:00 [INF] FIN | Database - ExecuteReaderAsync
