2024-06-05 23:11:32.459 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:12:32.469 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:12:32.469 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:12:32.471 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:13:32.483 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:13:32.483 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:13:32.490 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:14:32.462 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:14:32.462 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:14:32.464 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:16:52.886 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:16:52.886 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:16:52.886 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:16:52.886 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:16:52.899 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:16:52.901 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:17:44.555 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:17:44.555 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:17:45.668 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:19:27.626 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:19:27.626 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:19:27.630 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:19:41.742 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:19:41.742 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:19:41.743 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:20:32.484 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:20:32.484 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:20:32.487 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 23:21:32.467 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 23:21:32.467 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 23:21:32.478 -05:00 [INF] FIN | Database - ExecuteReaderAsync
